category,cost,cuisine,featured,location,names,rating,reviews,urls
Casual Dining,Rs. 800,"Chinese,Thai,Seafood",Pan-Asian Delicacies,"Galleria Shopping Centre, Powai","Asian Wok
                                    ","4.0,4.1",,https://www.zomato.com/mumbai/asian-wok-powai
Quick Bites,Rs. 700,Italian,,Malad West,"Queen Margherita's Pizzeria
                                    ","4.1,4.0",,https://www.zomato.com/mumbai/queen-margheritas-pizzeria-malad-west
Dessert Parlor,Rs. 250,"Ice Cream,Desserts,Beverages",,Mulund West,"Prabhu Ice Cream
                                    ","3.9,4.2",,https://www.zomato.com/mumbai/prabhu-ice-cream-mulund-west
Café,Rs. 600,"Cafe,Fast Food,Tea",Best of Mumbai,Chembur,"Steamy Mugs
                                    ","4.5,3.7",,https://www.zomato.com/mumbai/steamy-mugs-chembur
Quick Bites,Rs. 400,"Continental,Desserts,Sandwich,Italian,Salad,Wraps,Beverages",,Borivali West,"Cafe Blue Bliss
                                    ","4.1,4.1",,https://www.zomato.com/mumbai/cafe-blue-bliss-borivali-west
Quick Bites,Rs. 500,"Chinese,Momos,Thai,Asian",,Dahisar West,"Sizzling Spices
                                    ","4.1,4.1",,https://www.zomato.com/mumbai/sizzling-spices-dahisar-west
Quick Bites,Rs. 500,"Street Food,Fast Food,Pizza,Beverages",Value For Money,Parel,"Piku Chiku
                                    ","4.2,3.9",,https://www.zomato.com/mumbai/piku-chiku-2-parel
Casual Dining,Rs. 500,"South Indian,Beverages",Terrific Thalis,Marine Lines,"Gughan Supreme South Indian
                                    ","4.4,3.7",,https://www.zomato.com/mumbai/gughan-supreme-south-indian-marine-lines
Casual Dining,"Rs. 1,300","Thai,North Indian,Maharashtrian,Malwani,Chinese",,"Hiranandani Estate, Thane West","Chulha Village
                                    ","4.2,3.9",,https://www.zomato.com/mumbai/chulha-village-hiranandani-estate-thane-west-thane
"Casual Dining,Bar","Rs. 1,600","Italian,Continental,Mexican,North Indian",,"Inorbit Mall, Vashi","Pot Pourri
                                    ","4.4,3.8",,https://www.zomato.com/mumbai/pot-pourri-vashi-navi-mumbai
Bakery,Rs. 300,Bakery,,Malad West,"Chunky's Cake Shop
                                    ",4.1,"(1,136 Reviews)",https://www.zomato.com/mumbai/chunkys-cake-shop-malad-west
,Rs. 200,"North Indian,Rolls","
                                                                                        25% off on all orders above ₹175
                                        ","Andheri Lokhandwala, Andheri West","Paratha Express
                                    ",4.1,"(1,792 Reviews)",https://www.zomato.com/mumbai/paratha-express-andheri-lokhandwala
Quick Bites,Rs. 200,South Indian,Legendary Outlets,Matunga East,"Anand Bhavan
                                    ","4.2,3.9",,https://www.zomato.com/mumbai/anand-bhavan-matunga-east
Dessert Parlor,Rs. 350,Desserts,,Kandivali West,"Waffle Adda
                                    ","4.0,4.2",,https://www.zomato.com/mumbai/waffle-adda-1-kandivali-west
Café,Rs. 850,"Cafe,Italian,Healthy Food,Mexican,Salad,Beverages,Coffee,Tea","Best of Mumbai,
                                                                                        15% off on all orders above ₹299
                                        ",CBD-Belapur,"Chaai Centre
                                    ","4.5,3.6",,https://www.zomato.com/mumbai/chaai-centre-cbd-belapur-navi-mumbai
Casual Dining,"Rs. 1,900","North Indian,Modern Indian,Street Food,Beverages",,Lower Parel,"Ishaara
                                    ","4.3,3.9",,https://www.zomato.com/mumbai/ishaara-lower-parel
Quick Bites,Rs. 450,"North Indian,Chinese,Biryani",,Mira Road,"Arfat
                                    ",4.1,(638 Reviews),https://www.zomato.com/mumbai/arfat-mira-road
Dessert Parlor,Rs. 500,"Desserts,Bakery",,Prabhadevi,"Sugar Coated Love
                                    ","3.9,4.3",,https://www.zomato.com/mumbai/sugar-coated-love-prabhadevi
Quick Bites,Rs. 500,"Chinese,North Indian,Maharashtrian","
                                                                                        10% off on all orders above ₹299
                                        ",Vashi,"Nanak Kripa
                                    ","3.9,4.3",,https://www.zomato.com/mumbai/nanak-kripa-vashi-navi-mumbai
Casual Dining,Rs. 750,"European,Turkish,Fast Food,Salad,Continental,Beverages",,"Pali Hill, Bandra West","Mahlzeit - Berlin Street Food
                                    ","4.2,3.9",,https://www.zomato.com/mumbai/mahlzeit-berlin-street-food-pali-hill-bandra-west
Quick Bites,Rs. 100,North Indian,,"Owale, Thane West","Dabba Garam
                                    ","4.0,4.1",,https://www.zomato.com/mumbai/dabba-garam-owale-thane-west-thane
Casual Dining,"Rs. 1,500","Asian,Singaporean,Indonesian,Japanese,Chinese,Thai",Pan-Asian Delicacies,"7 Bungalows, Andheri West","Nom Nom
                                    ","4.1,4.0",,https://www.zomato.com/mumbai/nom-nom-7-bungalows
